id_paper,id_group,id_proc,paper_first_author,paper_year,paper_journal,pop_group_clinical,pop_group_demographic,recruitment_period,country,location,urban_rural,geographic_scope,study_design,recruitment_setting,refusal_rate_percent,missing_data_percent,treated,vaccinated,hiv_coinfection,other_infection,study_link,study_details,dp_period,age_min_years,age_max_years,age_mean_years,age_sd_years,age_median_years,age_iqr_years,age_distribution_years,sex,proportion_male,hbeag_positive_prop,hbeag_positive_prop_ci_lower,hbeag_positive_prop_ci_upper,sample_size,dp_details,processing_notes
GMB12,1,x,Ryder,1992,American Journal of Epidemiology,HBsAg-positive HCC patients - cirrhosis unknown,"Young adults, adults",1981-1982,Gambia,Nationwide,NR,National,Case-control,Hospital-based,0,max 11%,No,No,NA,NR,NA,spans all 4 hospitals and 19 health centers in The Gambia,1982,15,49,NR,NA,NR,NA,NR,Mixed,0.87,0.31,NR,NR,29,NA,sex distribution assumed to be the same in both age groups
GMB12,1,x,Ryder,1992,American Journal of Epidemiology,HBsAg-positive HCC patients - cirrhosis unknown,"Young adults, adults",1981-1982,Gambia,Nationwide,NR,National,Case-control,Hospital-based,0,max 11%,No,No,NA,NR,NA,spans all 4 hospitals and 19 health centers in The Gambia,1982,50,72,NR,NA,NR,NA,NR,Mixed,0.87,0.06,NR,NR,34,NA,sex distribution assumed to be the same in both age groups
GMB16,1,a,Whittle,1983,Lancet,HBsAg-positive general population,Children,1980,Gambia,Keneba,Rural,Sub-national,Cross-sectional (repeated),Community-based,0-27% depending on age group,NR,No,No,NA,NR,KM vaccine cohort,NA,1980,0.5,1,NR,NA,NR,NA,NR,Mixed,NR,1,NR,NR,4,NA,NA
GMB16,1,a,Whittle,1983,Lancet,HBsAg-positive general population,Children,1980,Gambia,Keneba,Rural,Sub-national,Cross-sectional (repeated),Community-based,0-27% depending on age group,NR,No,No,NA,NR,KM vaccine cohort,NA,1980,2,4,NR,NA,NR,NA,NR,Mixed,NR,0.81,NR,NR,11,NA,NA
GMB16,1,a,Whittle,1983,Lancet,HBsAg-positive general population,Children,1980,Gambia,Keneba,Rural,Sub-national,Cross-sectional (repeated),Community-based,0-27% depending on age group,NR,No,No,NA,NR,KM vaccine cohort,NA,1980,5,9,NR,NA,NR,NA,NR,Mixed,NR,0.6,NR,NR,12,NA,NA
GMB16,1,a,Whittle,1983,Lancet,HBsAg-positive general population,Children,1980,Gambia,Keneba,Rural,Sub-national,Cross-sectional (repeated),Community-based,0-27% depending on age group,NR,No,No,NA,NR,KM vaccine cohort,NA,1980,10,14,NR,NA,NR,NA,NR,Mixed,NR,0.25,NR,NR,12,NA,NA
GMB16,1,b,Whittle,1983,Lancet,HBsAg-positive general population,Children,1980,Gambia,Manduar,Rural,Sub-national,Cross-sectional (repeated),Community-based,0-27% depending on age group,NR,No,No,NA,NR,KM vaccine cohort,NA,1980,0.5,1,NR,NA,NR,NA,NR,Mixed,NR,1,NR,NR,3,NA,NA
GMB16,1,b,Whittle,1983,Lancet,HBsAg-positive general population,Children,1980,Gambia,Manduar,Rural,Sub-national,Cross-sectional (repeated),Community-based,0-27% depending on age group,NR,No,No,NA,NR,KM vaccine cohort,NA,1980,2,4,NR,NA,NR,NA,NR,Mixed,NR,0.81,NR,NR,11,NA,NA
GMB16,1,b,Whittle,1983,Lancet,HBsAg-positive general population,Children,1980,Gambia,Manduar,Rural,Sub-national,Cross-sectional (repeated),Community-based,0-27% depending on age group,NR,No,No,NA,NR,KM vaccine cohort,NA,1980,5,9,NR,NA,NR,NA,NR,Mixed,NR,0.6,NR,NR,21,NA,NA
GMB16,1,b,Whittle,1983,Lancet,HBsAg-positive general population,Children,1980,Gambia,Manduar,Rural,Sub-national,Cross-sectional (repeated),Community-based,0-27% depending on age group,NR,No,No,NA,NR,KM vaccine cohort,NA,1980,10,14,NR,NA,NR,NA,NR,Mixed,NR,0,NR,NR,5,NA,NA
