id_paper,id_group,id_proc,paper_first_author,paper_year,paper_journal,pop_group_clinical,pop_group_demographic,recruitment_period,country,location,urban_rural,geographic_scope,study_design,recruitment_setting,refusal_rate_percent,missing_data_percent,treated,vaccinated,hiv_coinfection,other_infection,study_link,study_details,dp_period,age_min_years,age_max_years,age_mean_years,age_sd_years,age_median_years,age_iqr_years,age_distribution_years,sex,proportion_male,hbeag_positive_prop,hbeag_positive_prop_ci_lower,hbeag_positive_prop_ci_upper,sample_size,dp_details,processing_notes
GMB12,1,x,Ryder,1992,American Journal of Epidemiology,HBsAg-positive HCC patients - cirrhosis unknown,"Young adults, adults",1981-1982,Gambia,Nationwide,NR,National,Case-control,Hospital-based,0,max 11%,No,No,NA,NR,NA,spans all 4 hospitals and 19 health centers in The Gambia,1982,15,49,NR,NA,NR,NA,NR,Mixed,0.87,0.31,NR,NR,29,NA,sex distribution assumed to be the same in both age groups
GMB12,1,x,Ryder,1992,American Journal of Epidemiology,HBsAg-positive HCC patients - cirrhosis unknown,"Young adults, adults",1981-1982,Gambia,Nationwide,NR,National,Case-control,Hospital-based,0,max 11%,No,No,NA,NR,NA,spans all 4 hospitals and 19 health centers in The Gambia,1982,50,72,NR,NA,NR,NA,NR,Mixed,0.87,0.06,NR,NR,34,NA,sex distribution assumed to be the same in both age groups
GMB15,1,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive HCC patients - cirrhosis unknown,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,HBsAg-positive subset of GLCS participants,1997-2001,17,34,NR,NA,NR,NA,NR,Mixed,0.84,0.23,NR,NR,40,NA,"sex distribution assumed to be the same in all age groups, minimum age derived from other GLCS study (Kirk)"
GMB15,1,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive HCC patients - cirrhosis unknown,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,HBsAg-positive subset of GLCS participants,1997-2001,35,44,NR,NA,NR,NA,NR,Mixed,0.84,0.11,NR,NR,36,NA,sex distribution assumed to be the same in all age groups
GMB15,1,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive HCC patients - cirrhosis unknown,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,HBsAg-positive subset of GLCS participants,1997-2001,45,54,NR,NA,NR,NA,NR,Mixed,0.84,0.24,NR,NR,33,NA,sex distribution assumed to be the same in all age groups
GMB15,1,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive HCC patients - cirrhosis unknown,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,HBsAg-positive subset of GLCS participants,1997-2001,55,64,NR,NA,NR,NA,NR,Mixed,0.84,0.1,NR,NR,10,NA,sex distribution assumed to be the same in all age groups
GMB15,1,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive HCC patients - cirrhosis unknown,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,HBsAg-positive subset of GLCS participants,1997-2001,65,87,NR,NA,NR,NA,NR,Mixed,0.84,0.1,NR,NR,10,NA,"sex distribution assumed to be the same in all age groups, maximum age derived from other GLCS study (Kirk)"
GMB15,2,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive cirrhosis patients - no HCC,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,"HBsAg-positive subset of GLCS participants. No information on compensated/decompensated status, probably a mix of both",1997-2001,17,34,NR,NA,NR,NA,NR,Mixed,0.77,0.32,NR,NR,22,NA,"sex distribution assumed to be the same in all age groups, minimum age assumed to be adult and similar to other liver disease studies"
GMB15,2,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive cirrhosis patients - no HCC,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,"HBsAg-positive subset of GLCS participants. No information on compensated/decompensated status, probably a mix of both",1997-2001,35,44,NR,NA,NR,NA,NR,Mixed,0.77,0.27,NR,NR,11,NA,sex distribution assumed to be the same in all age groups
GMB15,2,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive cirrhosis patients - no HCC,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,"HBsAg-positive subset of GLCS participants. No information on compensated/decompensated status, probably a mix of both",1997-2001,45,54,NR,NA,NR,NA,NR,Mixed,0.77,0.2,NR,NR,15,NA,sex distribution assumed to be the same in all age groups
GMB15,2,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive cirrhosis patients - no HCC,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,"HBsAg-positive subset of GLCS participants. No information on compensated/decompensated status, probably a mix of both",1997-2001,55,64,NR,NA,NR,NA,NR,Mixed,0.77,0.4,NR,NR,5,NA,sex distribution assumed to be the same in all age groups
