id_paper,id_group,id_proc,paper_first_author,paper_year,paper_journal,pop_group_clinical,pop_group_demographic,recruitment_period,country,location,urban_rural,geographic_scope,study_design,recruitment_setting,refusal_rate_percent,missing_data_percent,treated,vaccinated,hiv_coinfection,other_infection,study_link,study_details,dp_period,age_min_years,age_max_years,age_mean_years,age_sd_years,age_median_years,age_iqr_years,age_distribution_years,sex,proportion_male,hbsag_positive_prop,hbeag_positive_prop,dp_description,prevalence,prevalence_ci_lower,prevalence_ci_upper,sample_size,dp_details,processing_notes,model_numerator,model_denominator
GMB1,1,x,Lemoine,2016,Lancet Global Health,HBsAg-positive general population,Adults,2011-2014,Gambia,Western Gambia,Mixed,Sub-national,Cohort,Community-based,31.1% (95% CI 27.6-35) of 8170,max 5%,No,No,NR,NR,PROLIFICA,NA,2011-2014,NR,NR,NR,NA,38,33-47,NR,Mixed,0.48,1,0,Inactive chronic carriers,0.905,NR,NR,402,inactive carrier was not defined in paper but did not rely on liver assessment by transient elastography,NA,Inactive carrier,Chronic carriers
GMB1,1,x,Lemoine,2016,Lancet Global Health,HBsAg-positive general population,Adults,2011-2014,Gambia,Western Gambia,Mixed,Sub-national,Cohort,Community-based,31.1% (95% CI 27.6-35) of 8170,max 5%,No,No,NR,NR,PROLIFICA,NA,2011-2014,NR,NR,NR,NA,38,33-47,NR,Mixed,0.48,1,0.033,Treatment eligible without cirrhosis,0.017,NR,NR,402,"Fibrosis/cirrhosis assessed using Metavir score. Metavir F2 or F3 are considered ""moderate/severe liver disease"" and interpreted as CHB in the paper (treatment eligible). Treatment eligibility criteria were EASL.",Compartment prevalence was derived by substracting number with cirrhosis from number treatment eligible (note different sample size so this represents the minimum number that had cirrhosis),Immune reactive and ENCHB,Chronic carriers
GMB1,1,x,Lemoine,2016,Lancet Global Health,HBsAg-positive general population,Adults,2011-2014,Gambia,Western Gambia,Mixed,Sub-national,Cohort,Community-based,31.1% (95% CI 27.6-35) of 8170,max 5%,No,No,NR,NR,PROLIFICA,NA,2011-2014,NR,NR,NR,NA,38,33-47,NR,Mixed,0.48,1,0.033,Cirrhosis,0.029,NR,NR,384,Fibrosis/cirrhosis assessed using Metavir score,NA,Compensated cirrhosis and decompensated cirrhosis,Chronic carriers
GMB1,1,x,Lemoine,2016,Lancet Global Health,HBsAg-positive general population,Adults,2011-2014,Gambia,Western Gambia,Mixed,Sub-national,Cohort,Community-based,31.1% (95% CI 27.6-35) of 8170,max 5%,No,No,NR,NR,PROLIFICA,NA,2011-2014,NR,NR,NR,NA,38,33-47,NR,Mixed,0.48,1,0.033,HCC,0,NR,NR,402,NA,NA,HCC,Chronic carriers
GMB1,2,x,Lemoine,2016,Lancet Global Health,HBsAg-positive blood donors,Adults - male,2013,Gambia,Banjul,NR,Sub-national,Cohort,Blood bank,18.6% of 6832 (shortage of testing kits),max. 12%,No,No,NR,NR,PROLIFICA,NA,2013,NR,NR,NR,NA,31,27-35,NR,Male,0.97,1,0.079,Inactive chronic carriers,0.843,NR,NR,300,inactive carrier was not defined in paper but did not rely on liver assessment by transient elastography,NA,Inactive carrier,Chronic carriers
GMB1,2,x,Lemoine,2016,Lancet Global Health,HBsAg-positive blood donors,Adults - male,2013,Gambia,Banjul,NR,Sub-national,Cohort,Blood bank,18.6% of 6832 (shortage of testing kits),max. 12%,No,No,NR,NR,PROLIFICA,NA,2013,NR,NR,NR,NA,31,27-35,NR,Male,0.97,1,0.079,Treatment eligible without cirrhosis,0.026,NR,NR,300,"Fibrosis/cirrhosis assessed using Metavir score. Metavir F2 or F3 are considered ""moderate/severe liver disease"" and interpreted as CHB in the paper (treatment eligible). Treatment eligibility criteria were EASL.",Compartment prevalence was derived by substracting number with cirrhosis from number treatment eligible (note different sample size so this represents the minimum number that had cirrhosis),Immune reactive and ENCHB,Chronic carriers
GMB1,2,x,Lemoine,2016,Lancet Global Health,HBsAg-positive blood donors,Adults - male,2013,Gambia,Banjul,NR,Sub-national,Cohort,Blood bank,18.6% of 6832 (shortage of testing kits),max. 12%,No,No,NR,NR,PROLIFICA,NA,2013,NR,NR,NR,NA,31,27-35,NR,Male,0.97,1,0.079,Cirrhosis,0.073,NR,NR,286,Fibrosis/cirrhosis assessed using Metavir score,NA,Compensated cirrhosis and decompensated cirrhosis,Chronic carriers
GMB1,2,x,Lemoine,2016,Lancet Global Health,HBsAg-positive blood donors,Adults - male,2013,Gambia,Banjul,NR,Sub-national,Cohort,Blood bank,18.6% of 6832 (shortage of testing kits),max. 12%,No,No,NR,NR,PROLIFICA,NA,2013,NR,NR,NR,NA,31,27-35,NR,Male,0.97,1,0.079,HCC,0,NR,NR,300,NA,NA,HCC,Chronic carriers
GMB2,1,x,Umoh,2011,Liver International,HBsAg-positive HCC patients,Adults,1997-2001 ,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,No,GLCS,these HCC cases were HBV-related: HBsAg-positive and without HCV or aflatoxin exposure,1997-2001 ,NR,NR,41,13,NR,NA,NR,Mixed,0.85,1,NR,Compensated cirrhosis,0.324,NR,NR,71,NA,"paper only reported proportion with cirrhosis in all HCC patients, but said it was ""similar across aetiologies"" and therefore applied to HBsAg positive patients here. Assumed the same for proportion decompensated among cirrhotics",Incident HCC cases originating from compensated cirrhosis,Total incident HCC cases
GMB2,1,x,Umoh,2011,Liver International,HBsAg-positive HCC patients,Adults,1997-2001 ,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,No,GLCS,these HCC cases were HBV-related: HBsAg-positive and without HCV or aflatoxin exposure,1997-2001 ,NR,NR,41,13,NR,NA,NR,Mixed,0.85,1,NR,Decompensated cirrhosis,0.296,NR,NR,71,"decompensated cirrhosis defined as significant ascites, jaundice or bleeding at presentation","paper only reported proportion with cirrhosis in all HCC patients, but said it was ""similar across aetiologies"" and therefore applied to HBsAg positive patients here. Assumed the same for proportion decompensated among cirrhotics",Incident HCC cases originating from decompensated cirrhosis,Total incident HCC cases
